time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-21T04:08:05.050Z,-9.109,116.5957,10,4.4,mb,,154,2.497,0.43,us,us2000h5gc,2018-11-01T17:51:03.040Z,"57 km SE of Praya, Indonesia",earthquake,7.5,1.9,0.161,11,reviewed,us,us
2018-07-24T14:50:40.810Z,-10.3889,116.4874,30.12,4.9,mww,,61,2.99,0.92,us,us2000gcpp,2018-10-09T16:43:31.040Z,"187 km S of Praya, Indonesia",earthquake,7.5,5.3,0.11,8,reviewed,us,us
2018-07-15T23:48:52.010Z,-9.0101,115.4768,79.79,4.7,mb,,97,1.415,0.75,us,us2000g5ts,2018-10-02T16:40:43.040Z,"35 km SE of Nusa Dua, Indonesia",earthquake,6.9,12.9,0.129,18,reviewed,us,us
2018-07-03T01:19:00.570Z,-9.743,115.1596,55.29,4.4,mb,,81,1.609,0.94,us,us2000fvau,2018-09-27T14:03:38.040Z,"104 km S of Nusa Dua, Indonesia",earthquake,8.2,7.8,0.117,21,reviewed,us,us
2018-05-16T22:48:48.590Z,-10.7228,115.0479,10,4.7,mb,,55,2.406,0.7,us,us1000e6v7,2018-08-15T19:46:54.040Z,"213 km S of Nusa Dua, Indonesia",earthquake,3.9,1.9,0.068,66,reviewed,us,us
2018-04-07T09:56:42.780Z,-10.709,117.287,10,4.8,mb,,91,3.808,0.59,us,us2000dvz9,2018-06-30T01:11:32.040Z,"245 km S of Sumbawa Besar, Indonesia",earthquake,3.3,1.9,0.076,54,reviewed,us,us
2018-02-21T01:44:42.420Z,-10.4676,115.5512,35,4.7,mb,,83,2.417,1.19,us,us2000d5p0,2018-05-22T02:00:20.040Z,"187 km S of Nusa Dua, Indonesia",earthquake,7.6,2,0.088,39,reviewed,us,us
2018-02-17T00:28:26.520Z,-9.4743,117.6073,66.82,4.7,mb,,53,3.556,0.98,us,us2000d3lw,2018-05-15T06:29:11.040Z,"110 km S of Sumbawa Besar, Indonesia",earthquake,7.1,7.1,0.073,57,reviewed,us,us
2017-11-06T18:20:24.020Z,-9.1298,117.0188,108.96,4.1,mb,,83,2.908,1.09,us,us2000bpmx,2018-01-31T03:04:41.040Z,"79 km SSE of Labuan Lombok, Indonesia",earthquake,7.5,8.5,0.135,15,reviewed,us,us
2017-10-18T00:22:15.400Z,-9.7601,114.2041,48.19,4.4,mb,,115,1.282,0.77,us,us1000atjy,2018-01-11T02:22:05.040Z,"147 km S of Muncar, Indonesia",earthquake,9,6.8,0.123,19,reviewed,us,us
2017-10-12T16:56:17.180Z,-9.7569,114.234,48.1,4.6,mb,,65,1.281,1.3,us,us1000aqt8,2018-01-09T02:14:57.040Z,"146 km S of Muncar, Indonesia",earthquake,5.6,6.7,0.082,44,reviewed,us,us
