time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-10T17:37:49.043Z,-8.1358,107.263,62.52,4.7,mb,,91,1.349,1.25,us,us700033vf,2019-06-20T19:03:13.040Z,"105 km S of Banjar, Indonesia",earthquake,2.5,6.8,0.078,50,reviewed,us,us
2019-03-07T08:43:41.870Z,-8.1316,108.5228,103.52,4.6,mb,,73,1.992,0.85,us,us1000jbs5,2019-05-24T21:21:12.040Z,"77 km SSW of Sidareja, Indonesia",earthquake,8.4,3,0.109,25,reviewed,us,us
2019-02-10T00:58:53.430Z,-8.3657,108.6164,38.78,4.2,mb,,102,1.94,0.52,us,us2000jngz,2019-04-25T15:32:01.040Z,"99 km SSW of Sidareja, Indonesia",earthquake,6.3,12,0.215,6,reviewed,us,us
2019-01-23T11:05:56.200Z,-8.1264,108.6285,106.82,4.3,mb,,51,1.888,1.12,us,us2000j7rq,2019-04-12T17:14:15.040Z,"73 km SSW of Sidareja, Indonesia",earthquake,8.3,7,0.111,23,reviewed,us,us
2019-01-17T00:14:20.970Z,-9.697,107.2657,10,4.3,mb,,90,1.769,0.68,us,us2000jbv6,2019-04-05T21:41:03.040Z,"275 km SSW of Singaparna, Indonesia",earthquake,5.8,1.9,0.239,5,reviewed,us,us
2019-01-07T16:58:50.260Z,-8.2027,108.9246,71.48,4.5,mb,,60,1.608,0.69,us,us2000j14r,2019-08-24T07:38:48.085Z,"72 km SSW of Kroya, Indonesia",earthquake,8.2,7.1,0.097,31,reviewed,us,us
2019-01-03T07:42:27.690Z,-9.2993,109.585,10,4.5,mb,,83,1.661,1.1,us,us2000j00l,2019-03-08T17:50:14.040Z,"167 km SSW of Srandakan, Indonesia",earthquake,4.4,1.8,0.109,25,reviewed,us,us
2018-12-31T12:45:35.830Z,-9.1555,107.1262,42.36,4.1,mb,,102,1.96,0.55,us,us2000j5my,2019-03-05T17:46:41.040Z,"219 km S of Banjar, Indonesia",earthquake,6.5,9.9,0.158,12,reviewed,us,us
2018-12-16T22:19:24.800Z,-8.7652,108.7501,35,4.3,mb,,81,1.948,0.92,us,us2000ivwp,2019-02-16T22:29:11.040Z,"136 km SSW of Kroya, Indonesia",earthquake,4.5,2,0.153,12,reviewed,us,us
2018-12-09T12:23:44.270Z,-8.9807,108.4533,42.15,4.5,mb,,101,2.306,0.62,us,us1000i5bd,2019-02-16T19:52:34.040Z,"169 km SSW of Sidareja, Indonesia",earthquake,9.2,10.2,0.145,14,reviewed,us,us
2018-12-09T10:12:38.410Z,-8.9958,108.4494,34,4.3,mb,,110,2.316,0.4,us,us2000itjg,2019-02-16T19:52:33.040Z,"171 km SSW of Sidareja, Indonesia",earthquake,9.4,7.9,0.153,12,reviewed,us,us
2018-12-09T09:53:01.530Z,-8.9773,108.3663,34.85,4,mb,,109,2.381,0.36,us,us2000itjf,2019-02-16T19:52:33.040Z,"171 km SSW of Sidareja, Indonesia",earthquake,9.6,4.9,0.183,8,reviewed,us,us
2018-12-09T02:50:35.360Z,-9.0506,108.4462,10,4.8,mb,,103,2.345,1.09,us,us1000i58n,2019-02-16T19:52:33.040Z,"177 km SSW of Sidareja, Indonesia",earthquake,7.5,1.8,0.096,37,reviewed,us,us
2018-11-29T20:42:05.420Z,-8.7025,109.7932,89.24,5,mb,,114,1.066,1.2,us,us1000hy1r,2019-02-09T19:02:11.040Z,"98 km SSW of Srandakan, Indonesia",earthquake,3.1,6.1,0.07,65,reviewed,us,us
2018-09-16T13:51:35.900Z,-8.6222,109.7753,85.49,4.2,mb,,83,1.022,0.56,us,us2000hic5,2018-11-21T18:19:17.040Z,"91 km SW of Srandakan, Indonesia",earthquake,9,4.4,0.176,9,reviewed,us,us
2018-08-13T10:37:31.640Z,-8.319,108.8786,71.12,4.5,mb,,108,1.677,1.04,us,us1000gbgv,2018-10-27T16:22:04.040Z,"86 km SSW of Kroya, Indonesia",earthquake,9,7.7,0.144,14,reviewed,us,us
2018-07-25T19:41:58.750Z,-8.1357,107.6234,70.48,4.3,mb,,89,2.88,0.99,us,us2000ghb3,2018-10-09T16:43:26.040Z,"102 km SSW of Singaparna, Indonesia",earthquake,4.4,9,0.125,18,reviewed,us,us
2018-07-16T13:39:23.360Z,-8.236,107.6358,35,4.5,mb,,88,2.877,1.19,us,us2000g9t5,2018-10-04T14:15:30.040Z,"110 km SSW of Singaparna, Indonesia",earthquake,5.3,1.9,0.124,19,reviewed,us,us
2018-07-03T07:14:29.390Z,-9.9711,107.1324,10,4.5,mb,,72,1.542,0.84,us,us2000g189,2018-09-27T14:03:45.040Z,"south of Java, Indonesia",earthquake,7.8,1.9,0.145,14,reviewed,us,us
2018-06-17T14:52:02.030Z,-8.807,109.8354,50.25,4.5,mb,,162,1.119,0.89,us,us1000eyf8,2018-09-07T17:47:10.040Z,"106 km SSW of Srandakan, Indonesia",earthquake,9.2,5.7,0.382,4,reviewed,us,us
2018-06-13T18:23:26.700Z,-9.3528,107.8034,10,4.3,mb,,105,2.397,0.5,us,us1000evkx,2018-09-07T17:47:09.040Z,"222 km SSW of Kawalu, Indonesia",earthquake,7.3,1.6,0.266,4,reviewed,us,us
2018-05-28T06:03:50.640Z,-8.4089,108.0434,50.08,4.5,mb,,76,1.631,0.87,us,us1000egf4,2018-08-28T16:27:31.040Z,"115 km S of Kawalu, Indonesia",earthquake,5.2,8.8,0.145,14,reviewed,us,us
2018-05-15T16:41:22.020Z,-8.2314,107.7625,35,4.2,mb,,155,1.406,1.32,us,us1000e7zr,2018-08-15T19:46:51.040Z,"104 km SSW of Singaparna, Indonesia",earthquake,7,2,0.216,6,reviewed,us,us
